File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\SelkieMessageHandlerAsync.cs,24,21,12,1,3,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\WindsorMessageDispatcher.cs,51,46,26,1,5,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Extensions\BusExtensions.cs,77,62,32,4,15,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Extensions\LimitedConcurrencyLevelTaskScheduler.cs,156,117,60,15,12,1,27,245,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\IMessageAggregator.cs,10,9,5,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\ISubscriberRepository.cs,18,14,9,0,4,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\ISubscriberRepositoryFactory.cs,13,11,6,0,2,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\ISubscriberStore.cs,21,17,11,0,4,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\MessageAggregator.cs,76,64,30,3,12,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\SelkieInMemoryBus.cs,57,51,23,0,6,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\SubscriberInfo.cs,18,16,9,0,2,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\SubscriberRepository.cs,92,74,37,12,18,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus\SubscriberStore.cs,54,46,23,2,8,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers\BusBuilder.cs,32,27,14,1,5,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers\BusInstaller.cs,22,21,10,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers\ManagementClientLoaderBuilder.cs,21,19,10,1,2,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers\WindsorMessageDispatcherBuilder.cs,29,26,12,1,3,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers\WindsorMessageDispatcherInstaller.cs,25,24,10,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\InMemoryBusExampleASync.cs,62,48,28,2,14,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\InMemoryBusExampleSync.cs,62,48,28,2,14,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Installer.cs,17,16,7,1,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Program.cs,55,43,33,0,12,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\TestSubscriber.cs,48,41,22,0,7,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Consumer\MessageAHandler.cs,20,19,9,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Consumer\MessageBHandlerAsync.cs,20,19,9,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Messages\MessageA.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Messages\MessageB.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\SelkieBusTests.cs,100,73,32,1,15,0,12,12,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\SelkieMessageConsumerAsyncTests.cs,37,28,13,0,6,0,3,3,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\SelkieMessageConsumerTests.cs,37,28,13,0,6,0,3,3,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\Extensions\BusExtensionsTests.cs,147,99,52,0,27,0,21,21,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\Extensions\SelkieEasyNetQLoggerTests.cs,71,47,28,0,12,0,12,12,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\InMemoryBus\MessageAggregatorTests.cs,152,119,54,1,21,0,12,12,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\InMemoryBus\SelkieInMemoryBusTests.cs,106,79,29,1,15,0,12,12,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\InMemoryBus\SubscriberRepositoryTests.cs,214,144,78,1,40,0,30,30,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\InMemoryBus\SubscriberStoreTests.cs,154,109,49,1,27,0,18,18,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\NuGet.Selkie.Geometry\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Constants.cs,83,61,14,0,20,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Installers.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\CirclePairTangentLinesCalculator.cs,177,145,79,13,31,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\CirclesIntersectionPointsCalculator.cs,263,218,109,26,40,0,5,18,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\CoordinatePairCalculator.cs,142,121,56,11,20,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\ICirclePairTangentLinesCalculator.cs,23,18,10,0,5,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\ICirclesIntersectionPointsCalculator.cs,18,15,9,0,3,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\ICoordinatePairCalculator.cs,21,17,9,0,4,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\IInnerTangentLinesIntersectionPointCalculator.cs,13,11,6,0,2,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\IInnerTangentsCalculator.cs,25,19,10,0,6,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\ILineDirectionCalculator.cs,12,11,7,0,1,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\InnerTangentLinesIntersectionPointCalculator.cs,73,56,34,4,15,0,2,6,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\InnerTangentsCalculator.cs,202,161,101,11,37,0,4,30,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\IOuterTangentLinesIntersectionPointCalculator.cs,13,11,6,0,2,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\IOuterTangentsCalculator.cs,23,18,9,0,5,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\LineDirectionCalculator.cs,169,137,54,30,21,0,11,42,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\OuterTangentLinesIntersectionPointCalculator.cs,77,58,34,4,17,0,2,6,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators\OuterTangentsCalculator.cs,232,185,111,15,43,0,4,30,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Primitives\Angle.cs,340,276,146,47,58,0,6,20,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Primitives\Distance.cs,145,121,55,24,22,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Properties\AssemblyInfo.cs,40,16,3,0,8,0,16,118,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ArcSegment.cs,195,155,82,11,39,0,1,22,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Circle.cs,238,198,92,31,38,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\CirclePair.cs,117,90,42,15,21,0,6,19,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\IArcSegment.cs,25,21,13,0,4,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ICircle.cs,30,23,15,0,7,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ICirclePair.cs,19,16,10,0,3,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ILine.cs,25,22,14,0,3,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\IPolyline.cs,35,26,18,0,9,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\IPolylineSegment.cs,26,19,12,0,7,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\IShape.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ITurnCircle.cs,24,19,12,0,5,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\ITurnCircleArcSegment.cs,12,10,5,0,2,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Line.cs,437,370,142,43,57,0,10,49,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Point.cs,188,156,84,23,30,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Polyline.cs,169,129,82,18,40,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\TurnCircle.cs,171,149,71,22,20,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\TurnCircleArcSegment.cs,208,172,80,18,35,0,1,15,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\CircleCentrePointToPointCalculator.cs,97,82,39,7,15,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\CircleCentreToPointCalculator.cs,185,159,75,15,23,2,3,35,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\ICircleCentrePointToPointCalculator.cs,23,18,9,0,5,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\ICircleCentreToPointCalculator.cs,29,22,11,0,7,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\IIsPointOnArcSegmentCalculator.cs,17,13,7,0,4,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\IIsPointOnPolylineSegmentsCalculator.cs,7,7,3,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\IsPointOnArcSegmentCalculator.cs,81,68,35,11,13,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators\IsPointOnPolylineSegmentsCalculator.cs,27,23,11,4,4,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\ISurveyFeature.cs,28,20,14,0,8,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\ISurveyLine.cs,11,10,5,0,1,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\ISurveyPolyline.cs,11,10,5,0,1,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\SurveyFeature.cs,100,87,47,4,13,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\SurveyLine.cs,25,23,7,0,2,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying\SurveyPolyline.cs,25,23,7,0,2,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Calculators\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\CirclePairTangentLinesCalculatorTests.cs,563,480,208,0,81,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\CirclesIntersectionPointsCalculatorTests.cs,621,517,215,0,103,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\CoordinatePairCalculatorTests.cs,215,183,74,0,32,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\InnerTangentLinesIntersectionPointCalculatorTests.cs,66,58,26,0,8,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\InnerTangentsCalculatorTests.cs,571,474,198,0,96,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\LineDirectionCalculatorTests.cs,538,497,120,0,40,0,1,9,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\OuterTangentLinesIntersectionPointCalculatorTests.cs,217,180,77,0,37,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators\OuterTangentsCalculatorTests.cs,578,490,210,0,87,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Primitives\AngleTests.cs,990,792,368,0,197,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Primitives\DistanceTests.cs,251,200,107,0,50,0,1,4,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\ArcSegmentTests.cs,582,474,197,0,101,0,7,10,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\CirclePairTests.cs,232,189,83,0,43,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\CircleTests.cs,437,358,148,0,75,0,4,14,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\LineTests.cs,801,674,257,0,123,1,4,33,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\PointTests.cs,551,451,195,0,94,0,6,20,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\PolyineTests.cs,407,279,134,0,62,0,66,66,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\TurnCircleArcSegmentTests.cs,348,255,101,0,48,0,45,45,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\TurnCircleTests.cs,231,192,69,0,37,0,2,7,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\Calculators\CircleCentrePointToPointCalculatorTests.cs,93,80,37,0,13,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\Calculators\CircleCentreToPointCalculatorTests.cs,214,179,77,0,35,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\Calculators\IsPointOnArcSegmentCalculatorTests.cs,208,153,72,2,31,0,24,24,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\Calculators\IsPointOnPolylineSegmentsCalculatorTests.cs,89,62,28,0,15,0,12,12,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Surveying\SurveyFeatureTests.cs,271,188,75,0,26,0,57,57,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Surveying\SurveyLineTests.cs,166,116,43,0,17,0,33,33,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Surveying\SurveyPolylineTests.cs,174,123,52,0,18,0,33,33,0,0
C:\Development\Selkie\NUnit.Extensions\NuGet.Selkie.NUnit.Extensions\Properties\AssemblyInfo.cs,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\AutoNSubstituteDataAttribute.cs,18,17,8,0,1,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\Constants.cs,25,20,9,0,5,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\NUnitHelper.cs,177,152,54,10,25,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\StringExtensions.cs,30,28,8,2,2,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\Properties\AssemblyInfo.cs,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\AutoNSubstituteDataAttributeTests.cs,56,46,22,0,7,0,3,3,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\NUnitHelperTests.cs,417,368,120,0,48,0,1,3,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\StringExtensionsTests.cs,32,28,12,0,4,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\Properties\AssemblyInfo.cs,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\NuGet.Selkie.Racetrack\Properties\AssemblyInfo.cs,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Installer.cs,38,31,15,0,3,0,4,12,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Path.cs,121,99,55,9,22,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\PathShortestFinder.cs,38,31,18,2,6,0,1,4,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\PathValidator.cs,87,69,34,14,16,0,2,8,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Settings.cs,238,209,99,26,26,0,3,12,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\BaseFeaturesToFeaturesRacetracksCalculator.cs,77,59,43,2,18,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\BaseRacetrackCalculator.cs,80,63,39,3,17,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\FeaturePairToRacetrackCalculator.cs,66,54,33,1,12,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\FeaturesToFeaturesForwardToForwardRacetrackCalculator.cs,21,19,8,1,2,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\FeaturesToFeaturesForwardToReverseRacetrackCalculator.cs,21,19,8,1,2,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\FeaturesToFeaturesReverseToForwardRacetrackCalculator.cs,23,20,9,1,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\FeaturesToFeaturesReverseToReverseRacetrackCalculator.cs,23,20,9,1,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\ForwardToForwardCalculator.cs,33,30,16,1,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\ForwardToReverseCalculator.cs,35,31,17,1,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\LinePointDirectionForHorizontalOrVerticalLineCalculator.cs,133,114,49,20,19,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\PathCalculator.cs,56,46,25,2,10,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\PathSelectorCalculator.cs,95,81,45,6,14,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\RacetrackLineDirectionCalculator.cs,177,150,61,23,27,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\RacetracksCalculator.cs,125,102,57,2,23,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\ReverseToForwardCalculator.cs,33,30,16,1,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators\ReverseToReverseCalculator.cs,35,31,17,1,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Converters\TurnCirclePairsToPathsConverter.cs,84,71,39,6,13,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Converters\TurnCirclePairToPathConverter.cs,145,119,61,14,24,0,2,6,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Converters\TurnCirclePairToPathCreator.cs,119,99,50,4,19,0,1,4,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\IPath.cs,32,24,14,0,8,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\IPathShortestFinder.cs,16,13,7,0,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\IPathValidator.cs,11,10,5,0,1,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\IRacetracks.cs,21,16,8,0,5,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\ISettings.cs,36,28,17,0,8,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IBaseFeaturesToFeaturesRacetracksCalculator.cs,25,20,12,0,5,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IBaseRacetrackCalculator.cs,31,23,13,0,8,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\ICalculator.cs,7,7,3,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\ICalculatorFactory.cs,10,9,5,0,1,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IFeaturePairToRacetrackCalculator.cs,30,23,13,0,7,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IFeaturesToFeaturesForwardToForwardRacetrackCalculator.cs,7,7,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IFeaturesToFeaturesForwardToReverseRacetrackCalculator.cs,7,7,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IFeaturesToFeaturesReverseToForwardRacetrackCalculator.cs,7,7,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IFeaturesToFeaturesReverseToReverseRacetrackCalculator.cs,7,7,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IForwardToForwardCalculator.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IForwardToReverseCalculator.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\ILinePointDirectionCalculator.cs,9,8,4,0,1,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IPathCalculator.cs,17,14,7,0,3,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IPathSelectorCalculator.cs,14,12,6,0,2,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IRacetrackLineDirectionCalculator.cs,9,8,4,0,1,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IRacetracksCalculator.cs,24,20,11,0,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IReverseToForwardCalculator.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators\IReverseToReverseCalculator.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Converters\IConverter.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Converters\ITurnCirclePairsToPathsConverter.cs,20,16,9,0,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Converters\ITurnCirclePairToPathConverter.cs,23,18,10,0,5,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Converters\ITurnCirclePairToPathCreator.cs,10,9,4,0,1,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Turn\IPossibleTurnCirclePairs.cs,15,13,7,0,2,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Turn\IPossibleTurnCircles.cs,26,20,11,0,6,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Turn\ITurnCirclePair.cs,36,26,15,0,10,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IAngleToCentrePointCalculator.cs,39,29,16,0,10,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IDetermineCirclePairCalculator.cs,22,18,10,0,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IDetermineTurnCircleCalculator.cs,21,17,9,0,4,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IUTurnCircle.cs,40,31,19,0,9,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IUTurnCircleCalculator.cs,34,26,15,0,8,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn\IUTurnPath.cs,21,16,9,0,5,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Properties\AssemblyInfo.cs,41,41,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Turn\PossibleTurnCirclePairs.cs,172,145,60,14,27,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Turn\PossibleTurnCircles.cs,207,165,92,11,42,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Turn\TurnCirclePair.cs,192,164,85,17,27,0,1,5,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\UTurn\AngleToCentrePointCalculator.cs,255,197,106,22,58,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\UTurn\DetermineCirclePairCalculator.cs,134,115,55,11,19,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\UTurn\DetermineTurnCircleCalculator.cs,91,79,39,8,12,0,0,0,0,0
